name,date,value
Bridgeport Sikorsky Mem Ap,7,27
Bridgeport Sikorsky Mem Ap,28,1
Bridgeport Sikorsky Mem Ap,42,7
Bridgeport Sikorsky Mem Ap,301,30
Bridgeport Sikorsky Mem Ap,322,0
Bridgeport Sikorsky Mem Ap,350,28
Bridgeport Sikorsky Mem Ap,371,13
Bridgeport Sikorsky Mem Ap,378,2
Bridgeport Sikorsky Mem Ap,385,3
Bridgeport Sikorsky Mem Ap,392,50
Bridgeport Sikorsky Mem Ap,399,0
Bridgeport Sikorsky Mem Ap,420,36
Bridgeport Sikorsky Mem Ap,434,11
Bridgeport Sikorsky Mem Ap,672,0
Bridgeport Sikorsky Mem Ap,700,26
Bridgeport Sikorsky Mem Ap,707,13
Bridgeport Sikorsky Mem Ap,714,0
Bridgeport Sikorsky Mem Ap,721,17
Bridgeport Sikorsky Mem Ap,728,2
Bridgeport Sikorsky Mem Ap,742,28
Bridgeport Sikorsky Mem Ap,749,2
Bridgeport Sikorsky Mem Ap,756,52
Bridgeport Sikorsky Mem Ap,763,55
Bridgeport Sikorsky Mem Ap,770,10
Bridgeport Sikorsky Mem Ap,791,0
Bridgeport Sikorsky Mem Ap,812,3
Bridgeport Sikorsky Mem Ap,826,0
Bridgeport Sikorsky Mem Ap,1050,1
Bridgeport Sikorsky Mem Ap,1064,3
Bridgeport Sikorsky Mem Ap,1085,4
Bridgeport Sikorsky Mem Ap,1092,11
Bridgeport Sikorsky Mem Ap,1106,20
Bridgeport Sikorsky Mem Ap,1113,33
Bridgeport Sikorsky Mem Ap,1120,42
Bridgeport Sikorsky Mem Ap,1127,15
Bridgeport Sikorsky Mem Ap,1134,20
Bridgeport Sikorsky Mem Ap,1141,1
Bridgeport Sikorsky Mem Ap,1148,41
Bridgeport Sikorsky Mem Ap,1162,21
Bridgeport Sikorsky Mem Ap,1169,4
Bridgeport Sikorsky Mem Ap,1176,1
Bridgeport Sikorsky Mem Ap,1449,3
Bridgeport Sikorsky Mem Ap,1463,0
Bridgeport Sikorsky Mem Ap,1470,37
Bridgeport Sikorsky Mem Ap,1484,29
Bridgeport Sikorsky Mem Ap,1491,15
Bridgeport Sikorsky Mem Ap,1498,6
Bridgeport Sikorsky Mem Ap,1512,1
Bridgeport Sikorsky Mem Ap,1533,7
Bridgeport Sikorsky Mem Ap,1547,0
Bridgeport Sikorsky Mem Ap,1799,22
Bridgeport Sikorsky Mem Ap,1820,24
Bridgeport Sikorsky Mem Ap,1827,7
Bridgeport Sikorsky Mem Ap,1848,9
Bridgeport Sikorsky Mem Ap,1855,37
Bridgeport Sikorsky Mem Ap,1862,9
Bridgeport Sikorsky Mem Ap,1883,15
Bridgeport Sikorsky Mem Ap,1890,26
Bridgeport Sikorsky Mem Ap,2156,16
Bridgeport Sikorsky Mem Ap,2163,7
Bridgeport Sikorsky Mem Ap,2177,8
Burlington,0,4
Burlington,7,18
Burlington,14,4
Burlington,42,11
Burlington,49,11
Burlington,301,15
Burlington,322,4
Burlington,350,22
Burlington,357,22
Burlington,364,4
Burlington,371,15
Burlington,385,4
Burlington,392,4
Burlington,399,14
Burlington,413,4
Burlington,420,18
Burlington,434,18
Burlington,700,11
Burlington,707,40
Burlington,714,4
Burlington,721,18
Burlington,728,4
Burlington,742,7
Burlington,749,4
Burlington,756,51
Burlington,763,33
Burlington,770,11
Burlington,826,4
Burlington,1050,18
Burlington,1092,22
Burlington,1099,4
Burlington,1106,15
Burlington,1113,22
Burlington,1120,36
Burlington,1127,40
Burlington,1134,4
Burlington,1141,25
Burlington,1148,25
Burlington,1162,7
Burlington,1449,11
Burlington,1463,4
Burlington,1477,7
Burlington,1484,14
Burlington,1491,18
Burlington,1498,4
Burlington,1505,7
Burlington,1533,11
Burlington,1547,18
Burlington,1778,4
Burlington,1799,18
Burlington,1813,7
Burlington,1820,4
Burlington,1827,15
Burlington,1841,7
Burlington,1848,11
Burlington,1855,54
Burlington,1862,15
Burlington,1883,7
Burlington,1890,58
Burlington,1904,4
Burlington,2163,24
Burlington,2177,15
Burlington,2184,25
Danbury,28,1
Danbury,42,15
Danbury,49,15
Danbury,301,33
Danbury,322,8
Danbury,385,4
Danbury,392,71
Danbury,399,11
Danbury,413,1
Danbury,700,60
Danbury,707,57
Danbury,714,6
Danbury,721,3
Danbury,791,2
Danbury,812,8
Danbury,826,22
Danbury,1064,4
Danbury,1078,2
Danbury,1085,7
Danbury,1092,16
Danbury,1099,2
Danbury,1106,60
Danbury,1113,35
Danbury,1120,52
Danbury,1127,43
Danbury,1134,38
Danbury,1141,19
